,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tutoia,-2.7619,-42.2744,91.38,66,15,15.59,BR,1638897196
1,severo-kurilsk,50.6789,156.125,30.16,62,95,27.56,RU,1638897198
2,bongandanga,1.5,21.05,72.36,96,99,2.08,CD,1638897201
3,lasa,46.6166,10.7002,28.31,64,5,2.91,IT,1638897100
4,uniontown,39.9001,-79.7164,32.45,44,97,4,US,1638897111
5,bredasdorp,-34.5322,20.0403,66.27,76,79,14.63,ZA,1638897074
6,vaini,-21.2,-175.2,73.56,94,75,10.36,TO,1638897208
7,bluff,-46.6,168.3333,49.8,88,95,7.31,NZ,1638897210
8,east london,-33.0153,27.9116,67.28,75,87,9.75,ZA,1638897084
9,upernavik,72.7868,-56.1549,13.75,90,100,7.67,GL,1638897213
10,ushuaia,-54.8,-68.3,51.42,44,81,14.92,AR,1638897069
11,vestmannaeyjar,63.4427,-20.2734,36.59,69,40,8.05,IS,1638897219
12,port elizabeth,-33.918,25.5701,66.09,77,84,6.31,ZA,1638897221
13,ixtapa,20.7,-105.2,78.03,50,1,0,MX,1638896971
14,belaya gora,68.5333,146.4167,-28.28,100,99,1.99,RU,1638897226
15,torbay,47.6666,-52.7314,60.76,89,100,13,CA,1638897228
16,sur,22.5667,59.5289,73.99,60,0,6.35,OM,1638897230
17,rio grande,-32.035,-52.0986,74.95,56,6,15.1,BR,1638896971
18,aparecida do taboado,-20.0867,-51.0936,82.87,53,60,4.81,BR,1638897177
19,saint-philippe,-21.3585,55.7679,78.39,81,21,11.27,RE,1638897236
20,hamilton,39.1834,-84.5333,29.12,56,1,1.01,US,1638897150
21,avarua,-21.2078,-159.775,71.65,100,75,3.44,CK,1638897240
22,new norfolk,-42.7826,147.0587,42.91,68,11,2.17,AU,1638897243
23,kaitangata,-46.2817,169.8464,46.38,95,53,3.31,NZ,1638897114
24,mataura,-46.1927,168.8643,49.48,95,82,2.73,NZ,1638897248
25,kavieng,-2.5744,150.7967,81.81,83,100,22.62,PG,1638897250
26,qaanaaq,77.484,-69.3632,14.09,69,91,10.65,GL,1638897252
27,fortuna,40.5982,-124.1573,52.36,76,90,1.99,US,1638897255
28,loandjili,-4.7561,11.8578,79.9,85,54,7.78,CG,1638897256
29,nemuro,43.3236,145.575,39.97,67,23,16.82,JP,1638897258
30,hambantota,6.1241,81.1185,77.68,79,70,9.78,LK,1638897260
31,san patricio,28.017,-97.5169,61.54,47,52,0.67,US,1638897262
32,bambous virieux,-20.3428,57.7575,79.05,73,40,6.91,MU,1638897265
33,urdzhar,-7.8447,-79.1469,64.94,59,63,10.4,PE,1638897268
34,chicama,55.1001,-105.2842,-7.89,97,95,4.34,CA,1638897270
35,la ronge,71.2906,-156.7887,17.62,79,90,21.85,US,1638897049
36,barrow,-22.9661,-42.0278,76.86,73,90,10.36,BR,1638897274
37,arraial do cabo,7.7669,-72.225,83.03,42,100,6.06,VE,1638897056
38,san cristobal,-35.3333,-72.4167,63.75,62,40,7.49,CL,1638897277
39,constitucion,-19.0595,-169.9187,77.7,82,100,18.19,NU,1638897279
40,alofi,-33.5906,26.891,67.33,76,97,10.6,ZA,1638897281
41,port alfred,-8.7522,-67.3978,89.24,58,93,1.36,BR,1638897284
42,boca do acre,71.9667,102.5,-8.5,98,100,10.07,RU,1638897125
43,khatanga,42.6001,-73.9662,37.45,72,52,1.01,US,1638897289
44,albany,-0.6,73.0833,82.47,78,100,12.77,MV,1638897291
45,hithadhoo,-38.2667,141.9667,52.29,58,62,13.71,AU,1638897292
46,codrington,55.2689,66.4947,-2.51,97,6,6.64,RU,1638897295
47,lebyazhye,-33.9258,18.4232,69.35,65,52,5.99,ZA,1638897297
48,cape town,63.7256,8.834,24.91,68,84,12.97,NO,1638897300
49,sistranda,2.6708,72.8944,82.99,76,96,8.59,MV,1638897151
50,kudahuvadhoo,-53.15,-70.9167,51.82,46,44,26.37,CL,1638897157
51,punta arenas,42.4308,130.6434,29.91,71,2,4.76,RU,1638897307
52,khasan,41.7911,-107.2387,37.83,55,1,29.93,US,1638897309
53,rawlins,-9.8,-139.0333,78.66,71,51,18.7,PF,1638897117
54,atuona,45.5234,-122.6762,51.6,95,90,1.01,US,1638897281
55,portland,62.2266,-6.589,34.72,75,94,8.34,FO,1638897314
56,klaksvik,-24.8667,113.6333,71.67,88,75,8.05,AU,1638897066
57,carnarvon,-8.145,159.5921,77.7,95,100,7.09,SB,1638897319
